Algorithm,Evaluation Metric,Dataset Condition,Rank,Distance Metric,Average Score
DBSCAN,Davies-Bouldin Score,Size: High Rows,3,bhattacharyya,1.3321
DBSCAN,Davies-Bouldin Score,Size: Low Rows,1,hamming,0.8989
DBSCAN,Davies-Bouldin Score,Size: Low Rows,2,total_variation,1.1797
DBSCAN,Davies-Bouldin Score,Size: Low Rows,3,euclidean,1.3459
DBSCAN,Davies-Bouldin Score,Size: Medium Rows,1,total_variation,1.4084
DBSCAN,Davies-Bouldin Score,Size: Medium Rows,2,manhattan,1.7761
DBSCAN,Davies-Bouldin Score,Size: Medium Rows,3,earth_movers,1.9014
DBSCAN,Normalized Mutual Info,Balanced (Low Imbalance),1,kl_divergence,0.0469
DBSCAN,Normalized Mutual Info,Balanced (Low Imbalance),2,hamming,0.0286
DBSCAN,Normalized Mutual Info,Balanced (Low Imbalance),3,cosine,0.0204
DBSCAN,Normalized Mutual Info,Features: High Columns,1,hamming,0.0522
DBSCAN,Normalized Mutual Info,Features: High Columns,2,kl_divergence,0.0478
DBSCAN,Normalized Mutual Info,Features: High Columns,3,chebyshev,0.0117
DBSCAN,Normalized Mutual Info,Features: Low Columns,1,kl_divergence,0.0533
DBSCAN,Normalized Mutual Info,Features: Low Columns,2,euclidean,0.0477
DBSCAN,Normalized Mutual Info,Features: Low Columns,3,minkowski,0.0477
DBSCAN,Normalized Mutual Info,Features: Medium Columns,1,canberra,0.0752
DBSCAN,Normalized Mutual Info,Features: Medium Columns,2,cosine,0.0551
DBSCAN,Normalized Mutual Info,Features: Medium Columns,3,braycurtis,0.0478
DBSCAN,Normalized Mutual Info,Imbalanced (High Imbalance),1,canberra,0.0624
DBSCAN,Normalized Mutual Info,Imbalanced (High Imbalance),2,cosine,0.0585
DBSCAN,Normalized Mutual Info,Imbalanced (High Imbalance),3,braycurtis,0.0578
DBSCAN,Normalized Mutual Info,Size: High Rows,1,kl_divergence,0.0926
DBSCAN,Normalized Mutual Info,Size: High Rows,2,canberra,0.0895
DBSCAN,Normalized Mutual Info,Size: High Rows,3,braycurtis,0.0734
DBSCAN,Normalized Mutual Info,Size: Low Rows,1,manhattan,0.0389
DBSCAN,Normalized Mutual Info,Size: Low Rows,2,chebyshev,0.0358
DBSCAN,Normalized Mutual Info,Size: Low Rows,3,bhattacharyya,0.0347
DBSCAN,Normalized Mutual Info,Size: Medium Rows,1,hamming,0.0362
DBSCAN,Normalized Mutual Info,Size: Medium Rows,2,kl_divergence,0.0225
DBSCAN,Normalized Mutual Info,Size: Medium Rows,3,cosine,0.0188
DBSCAN,Silhouette Score,Balanced (Low Imbalance),1,bhattacharyya,0.7058
DBSCAN,Silhouette Score,Balanced (Low Imbalance),2,kl_divergence,0.6567
DBSCAN,Silhouette Score,Balanced (Low Imbalance),3,cosine,0.566
DBSCAN,Silhouette Score,Features: High Columns,1,kl_divergence,0.5797
DBSCAN,Silhouette Score,Features: High Columns,2,bhattacharyya,0.5744
DBSCAN,Silhouette Score,Features: High Columns,3,earth_movers,0.4725
DBSCAN,Silhouette Score,Features: Low Columns,1,kl_divergence,0.7333
DBSCAN,Silhouette Score,Features: Low Columns,2,bhattacharyya,0.7175
DBSCAN,Silhouette Score,Features: Low Columns,3,cosine,0.6425
DBSCAN,Silhouette Score,Features: Medium Columns,1,bhattacharyya,0.6045
DBSCAN,Silhouette Score,Features: Medium Columns,2,kl_divergence,0.5762
DBSCAN,Silhouette Score,Features: Medium Columns,3,cosine,0.5031
DBSCAN,Silhouette Score,Imbalanced (High Imbalance),1,kl_divergence,0.5966
DBSCAN,Silhouette Score,Imbalanced (High Imbalance),2,bhattacharyya,0.5479
DBSCAN,Silhouette Score,Imbalanced (High Imbalance),3,cosine,0.496
DBSCAN,Silhouette Score,Size: High Rows,1,bhattacharyya,0.7424
DBSCAN,Silhouette Score,Size: High Rows,2,kl_divergence,0.7264
DBSCAN,Silhouette Score,Size: High Rows,3,braycurtis,0.5964
DBSCAN,Silhouette Score,Size: Low Rows,1,bhattacharyya,0.6047
DBSCAN,Silhouette Score,Size: Low Rows,2,kl_divergence,0.5451
DBSCAN,Silhouette Score,Size: Low Rows,3,cosine,0.5176
DBSCAN,Silhouette Score,Size: Medium Rows,1,kl_divergence,0.6116
DBSCAN,Silhouette Score,Size: Medium Rows,2,bhattacharyya,0.5585
DBSCAN,Silhouette Score,Size: Medium Rows,3,cosine,0.5416
K-Medoids,Adjusted Rand Index,Balanced (Low Imbalance),1,manhattan,0.0801
K-Medoids,Adjusted Rand Index,Balanced (Low Imbalance),2,euclidean,0.076
K-Medoids,Adjusted Rand Index,Balanced (Low Imbalance),3,minkowski,0.076
K-Medoids,Adjusted Rand Index,Features: High Columns,1,jensen_shannon,0.0534
K-Medoids,Adjusted Rand Index,Features: High Columns,2,bhattacharyya,0.052
K-Medoids,Adjusted Rand Index,Features: High Columns,3,euclidean,0.0469
K-Medoids,Adjusted Rand Index,Features: Low Columns,1,euclidean,0.1879
K-Medoids,Adjusted Rand Index,Features: Low Columns,2,minkowski,0.1879
K-Medoids,Adjusted Rand Index,Features: Low Columns,3,manhattan,0.165
K-Medoids,Adjusted Rand Index,Features: Medium Columns,1,cosine,0.0932
K-Medoids,Adjusted Rand Index,Features: Medium Columns,2,manhattan,0.0896
K-Medoids,Adjusted Rand Index,Features: Medium Columns,3,euclidean,0.0829
K-Medoids,Adjusted Rand Index,Imbalanced (High Imbalance),1,euclidean,0.1424
K-Medoids,Adjusted Rand Index,Imbalanced (High Imbalance),2,minkowski,0.1424
K-Medoids,Adjusted Rand Index,Imbalanced (High Imbalance),3,cosine,0.1196
K-Medoids,Adjusted Rand Index,Size: High Rows,1,cosine,0.1342
K-Medoids,Adjusted Rand Index,Size: High Rows,2,euclidean,0.1134
K-Medoids,Adjusted Rand Index,Size: High Rows,3,minkowski,0.1134
K-Medoids,Adjusted Rand Index,Size: Low Rows,1,manhattan,0.1398
K-Medoids,Adjusted Rand Index,Size: Low Rows,2,euclidean,0.1388
K-Medoids,Adjusted Rand Index,Size: Low Rows,3,minkowski,0.1388
K-Medoids,Adjusted Rand Index,Size: Medium Rows,1,euclidean,0.062
K-Medoids,Adjusted Rand Index,Size: Medium Rows,2,minkowski,0.062
K-Medoids,Adjusted Rand Index,Size: Medium Rows,3,jensen_shannon,0.0453
K-Medoids,Calinski-Harabasz Score,Balanced (Low Imbalance),1,total_variation,1577.2331
K-Medoids,Calinski-Harabasz Score,Balanced (Low Imbalance),2,cosine,1435.3993
K-Medoids,Calinski-Harabasz Score,Balanced (Low Imbalance),3,kl_divergence,1405.5705
K-Medoids,Calinski-Harabasz Score,Features: High Columns,1,earth_movers,1423.6551
K-Medoids,Calinski-Harabasz Score,Features: High Columns,2,total_variation,1231.2908
K-Medoids,Calinski-Harabasz Score,Features: High Columns,3,bhattacharyya,712.7017
K-Medoids,Calinski-Harabasz Score,Features: Low Columns,1,cosine,4023.4402
K-Medoids,Calinski-Harabasz Score,Features: Low Columns,2,manhattan,3837.2743
K-Medoids,Calinski-Harabasz Score,Features: Low Columns,3,euclidean,3632.2078
K-Medoids,Calinski-Harabasz Score,Features: Medium Columns,1,total_variation,794.3494
K-Medoids,Calinski-Harabasz Score,Features: Medium Columns,2,cosine,787.9922
K-Medoids,Calinski-Harabasz Score,Features: Medium Columns,3,earth_movers,762.9138
K-Medoids,Calinski-Harabasz Score,Imbalanced (High Imbalance),1,cosine,2336.5246
K-Medoids,Calinski-Harabasz Score,Imbalanced (High Imbalance),2,euclidean,2328.2537
K-Medoids,Calinski-Harabasz Score,Imbalanced (High Imbalance),3,minkowski,2328.2537
K-Medoids,Calinski-Harabasz Score,Size: High Rows,1,cosine,4666.4264
K-Medoids,Calinski-Harabasz Score,Size: High Rows,2,manhattan,4538.5718
K-Medoids,Calinski-Harabasz Score,Size: High Rows,3,euclidean,4489.0935
K-Medoids,Calinski-Harabasz Score,Size: Low Rows,1,total_variation,384.0812
K-Medoids,Calinski-Harabasz Score,Size: Low Rows,2,earth_movers,381.2319
K-Medoids,Calinski-Harabasz Score,Size: Low Rows,3,cosine,336.3389
K-Medoids,Calinski-Harabasz Score,Size: Medium Rows,1,earth_movers,531.7447
K-Medoids,Calinski-Harabasz Score,Size: Medium Rows,2,total_variation,506.5369
K-Medoids,Calinski-Harabasz Score,Size: Medium Rows,3,cosine,318.8395
K-Medoids,Davies-Bouldin Score,Balanced (Low Imbalance),1,total_variation,1.4691
K-Medoids,Davies-Bouldin Score,Balanced (Low Imbalance),2,earth_movers,1.5291
K-Medoids,Davies-Bouldin Score,Balanced (Low Imbalance),3,jensen_shannon,1.696
K-Medoids,Davies-Bouldin Score,Features: High Columns,1,earth_movers,1.684
K-Medoids,Davies-Bouldin Score,Features: High Columns,2,total_variation,2.5948
K-Medoids,Davies-Bouldin Score,Features: High Columns,3,cosine,2.6749
K-Medoids,Davies-Bouldin Score,Features: Low Columns,1,kl_divergence,1.5695
K-Medoids,Davies-Bouldin Score,Features: Low Columns,2,euclidean,1.6516
K-Medoids,Davies-Bouldin Score,Features: Low Columns,3,minkowski,1.6516
K-Medoids,Davies-Bouldin Score,Features: Medium Columns,1,cosine,1.479
K-Medoids,Davies-Bouldin Score,Features: Medium Columns,2,earth_movers,1.5071
K-Medoids,Davies-Bouldin Score,Features: Medium Columns,3,total_variation,1.6048
K-Medoids,Davies-Bouldin Score,Imbalanced (High Imbalance),1,earth_movers,1.7861
K-Medoids,Davies-Bouldin Score,Imbalanced (High Imbalance),2,cosine,2.3248
K-Medoids,Davies-Bouldin Score,Imbalanced (High Imbalance),3,euclidean,2.4682
K-Medoids,Davies-Bouldin Score,Size: High Rows,1,euclidean,1.6707
K-Medoids,Davies-Bouldin Score,Size: High Rows,2,minkowski,1.6707
K-Medoids,Davies-Bouldin Score,Size: High Rows,3,total_variation,1.8086
K-Medoids,Davies-Bouldin Score,Size: Low Rows,1,earth_movers,1.4642
K-Medoids,Davies-Bouldin Score,Size: Low Rows,2,cosine,2.201
K-Medoids,Davies-Bouldin Score,Size: Low Rows,3,jensen_shannon,2.2313
K-Medoids,Davies-Bouldin Score,Size: Medium Rows,1,earth_movers,1.6365
K-Medoids,Davies-Bouldin Score,Size: Medium Rows,2,total_variation,1.7717
K-Medoids,Davies-Bouldin Score,Size: Medium Rows,3,cosine,1.9177
K-Medoids,Normalized Mutual Info,Balanced (Low Imbalance),1,euclidean,0.1074
K-Medoids,Normalized Mutual Info,Balanced (Low Imbalance),2,minkowski,0.1074
K-Medoids,Normalized Mutual Info,Balanced (Low Imbalance),3,cosine,0.1074
K-Medoids,Normalized Mutual Info,Features: High Columns,1,euclidean,0.0936
K-Medoids,Normalized Mutual Info,Features: High Columns,2,minkowski,0.0936
K-Medoids,Normalized Mutual Info,Features: High Columns,3,bhattacharyya,0.0852
K-Medoids,Normalized Mutual Info,Features: Low Columns,1,euclidean,0.2258
K-Medoids,Normalized Mutual Info,Features: Low Columns,2,minkowski,0.2258
K-Medoids,Normalized Mutual Info,Features: Low Columns,3,manhattan,0.2044
K-Medoids,Normalized Mutual Info,Features: Medium Columns,1,manhattan,0.0929
K-Medoids,Normalized Mutual Info,Features: Medium Columns,2,euclidean,0.0896
K-Medoids,Normalized Mutual Info,Features: Medium Columns,3,minkowski,0.0896
K-Medoids,Normalized Mutual Info,Imbalanced (High Imbalance),1,euclidean,0.1747
K-Medoids,Normalized Mutual Info,Imbalanced (High Imbalance),2,minkowski,0.1747
K-Medoids,Normalized Mutual Info,Imbalanced (High Imbalance),3,kl_divergence,0.1641
K-Medoids,Normalized Mutual Info,Size: High Rows,1,cosine,0.1518
K-Medoids,Normalized Mutual Info,Size: High Rows,2,euclidean,0.1456
K-Medoids,Normalized Mutual Info,Size: High Rows,3,minkowski,0.1456
K-Medoids,Normalized Mutual Info,Size: Low Rows,1,euclidean,0.1723
K-Medoids,Normalized Mutual Info,Size: Low Rows,2,minkowski,0.1723
K-Medoids,Normalized Mutual Info,Size: Low Rows,3,manhattan,0.1683
K-Medoids,Normalized Mutual Info,Size: Medium Rows,1,euclidean,0.0913
K-Medoids,Normalized Mutual Info,Size: Medium Rows,2,minkowski,0.0913
K-Medoids,Normalized Mutual Info,Size: Medium Rows,3,jensen_shannon,0.0691
K-Medoids,Silhouette Score,Balanced (Low Imbalance),1,earth_movers,0.4047
K-Medoids,Silhouette Score,Balanced (Low Imbalance),2,kl_divergence,0.3908
K-Medoids,Silhouette Score,Balanced (Low Imbalance),3,bhattacharyya,0.364
K-Medoids,Silhouette Score,Features: High Columns,1,earth_movers,0.4337
K-Medoids,Silhouette Score,Features: High Columns,2,kl_divergence,0.2678
