Algorithm,Evaluation Metric,Dataset Condition,Rank,Distance Metric,Average Score
SVM,F1 Score,Features: Low Columns,1,canberra,0.6405
SVM,F1 Score,Features: Low Columns,2,manhattan,0.6381
SVM,F1 Score,Features: Low Columns,3,braycurtis,0.6375
SVM,F1 Score,Features: Medium Columns,1,canberra,0.804
SVM,F1 Score,Features: Medium Columns,2,jensen_shannon,0.8035
SVM,F1 Score,Features: Medium Columns,3,braycurtis,0.7962
SVM,F1 Score,Imbalanced (High Imbalance),1,canberra,0.8352
SVM,F1 Score,Imbalanced (High Imbalance),2,manhattan,0.8333
SVM,F1 Score,Imbalanced (High Imbalance),3,braycurtis,0.8329
SVM,F1 Score,Size: High Rows,1,canberra,0.7985
SVM,F1 Score,Size: High Rows,2,manhattan,0.7963
SVM,F1 Score,Size: High Rows,3,braycurtis,0.7955
SVM,F1 Score,Size: Low Rows,1,canberra,0.8157
SVM,F1 Score,Size: Low Rows,2,braycurtis,0.8138
SVM,F1 Score,Size: Low Rows,3,manhattan,0.8113
SVM,F1 Score,Size: Medium Rows,1,canberra,0.6804
SVM,F1 Score,Size: Medium Rows,2,manhattan,0.6777
SVM,F1 Score,Size: Medium Rows,3,jensen_shannon,0.6762
SVM,Precision,Balanced (Low Imbalance),1,canberra,0.7093
SVM,Precision,Balanced (Low Imbalance),2,braycurtis,0.708
SVM,Precision,Balanced (Low Imbalance),3,manhattan,0.707
SVM,Precision,Features: High Columns,1,braycurtis,0.8656
SVM,Precision,Features: High Columns,2,manhattan,0.8647
SVM,Precision,Features: High Columns,3,canberra,0.8638
SVM,Precision,Features: Low Columns,1,canberra,0.6583
SVM,Precision,Features: Low Columns,2,braycurtis,0.6575
SVM,Precision,Features: Low Columns,3,manhattan,0.6567
SVM,Precision,Features: Medium Columns,1,jensen_shannon,0.8312
SVM,Precision,Features: Medium Columns,2,canberra,0.8285
SVM,Precision,Features: Medium Columns,3,manhattan,0.8255
SVM,Precision,Imbalanced (High Imbalance),1,canberra,0.8578
SVM,Precision,Imbalanced (High Imbalance),2,braycurtis,0.8577
SVM,Precision,Imbalanced (High Imbalance),3,manhattan,0.8576
SVM,Precision,Size: High Rows,1,manhattan,0.8099
SVM,Precision,Size: High Rows,2,canberra,0.8098
SVM,Precision,Size: High Rows,3,braycurtis,0.8093
SVM,Precision,Size: Low Rows,1,canberra,0.8386
SVM,Precision,Size: Low Rows,2,braycurtis,0.8386
SVM,Precision,Size: Low Rows,3,euclidean,0.8356
SVM,Precision,Size: Medium Rows,1,canberra,0.7021
SVM,Precision,Size: Medium Rows,2,manhattan,0.7015
SVM,Precision,Size: Medium Rows,3,braycurtis,0.7008
SVM,Recall,Balanced (Low Imbalance),1,canberra,0.6938
SVM,Recall,Balanced (Low Imbalance),2,braycurtis,0.6895
SVM,Recall,Balanced (Low Imbalance),3,manhattan,0.6889
SVM,Recall,Features: High Columns,1,braycurtis,0.8489
SVM,Recall,Features: High Columns,2,manhattan,0.8483
SVM,Recall,Features: High Columns,3,canberra,0.8478
SVM,Recall,Features: Low Columns,1,canberra,0.6386
SVM,Recall,Features: Low Columns,2,manhattan,0.6366
SVM,Recall,Features: Low Columns,3,braycurtis,0.6357
SVM,Recall,Features: Medium Columns,1,canberra,0.7986
SVM,Recall,Features: Medium Columns,2,jensen_shannon,0.7978
SVM,Recall,Features: Medium Columns,3,manhattan,0.7888
SVM,Recall,Imbalanced (High Imbalance),1,canberra,0.8295
SVM,Recall,Imbalanced (High Imbalance),2,manhattan,0.8269
SVM,Recall,Imbalanced (High Imbalance),3,braycurtis,0.8259
SVM,Recall,Size: High Rows,1,canberra,0.7951
SVM,Recall,Size: High Rows,2,manhattan,0.7926
SVM,Recall,Size: High Rows,3,braycurtis,0.7921
SVM,Recall,Size: Low Rows,1,canberra,0.8133
SVM,Recall,Size: Low Rows,2,braycurtis,0.8109
SVM,Recall,Size: Low Rows,3,manhattan,0.8088
SVM,Recall,Size: Medium Rows,1,canberra,0.6765
SVM,Recall,Size: Medium Rows,2,jensen_shannon,0.6724
SVM,Recall,Size: Medium Rows,3,manhattan,0.6723
